,comments,users
0,衣衣已收到。第一次购买小虫家的衣服，虽然等待的时间长点，但收到后给后来的买家做个参考哦。试穿效果很满意，衣衣是精梳棉的版型也不错，本人1.55体重110斤，穿最小号很合适的。,舒***厂
1,非常有设计感，款式特别，亮点在领口，袖口珍珠扣，廓形衬衫塞裤子里非常显瘦，有气质！,爱***0
2,比预售期提前几天发货了，料子好舒服啊，又挺括不会软塌塌的，宽宽大大，要是再收小那么一点点就完美了，我155，90斤xs 的还是会大，领子立起来穿才有范,d***8
3,超级赞！特有范儿！提升气质！52KG/XS码姐妹们可以参考！,d***8
4,衣服面料是高支棉的，质量很好，非常喜欢，拿到货后还想拍一件蓝色，一回头下架了，希望小虫还能让我看到蓝色的衣衣。小虫坚持品质哦，不辜负虫粉们的信任，5分必须的,p***b
5,觉得样式太棒了，没有理会别人的评价，确实是喜欢起皱，不过，对于我们有些肉肉的女性来说，还是不错的选择，穿起来感觉不错,清***6
6,品质依旧给力，超级宽松的款式，略透，目测应该比较容易起皱，中肯意见，供各位小仙女参考,t***7
7,款式是喜欢的，穿起来有型，就是皱的厉害。,x***4
8,下面光腿比较好看，嘻嘻，质量很好,t***l
9,发货北预期快，宝贝做工比较好，面料上身滑爽，简约而不简单的款呵！美美哒,s***8
10,帮同事买的，她穿上非常漂亮，质量非常好，款式很漂亮，太赞了,雪***4
11,衣服终于到了，一直很喜欢这衣服，我买过的，被好友要走，又买一件，就是衣服的号偏大，平时买L号，这衣服买S号合适，衣服太漂亮了，布料很好，做工精细，没线头，物有所值！,香***3
12,170，60公斤，M码正好，蝙蝠袖很有型，面料稍微有点透，柔软，容易皱,c***6
13,      高质量，高颜值的一款服装，身高164，体重61公斤。L码，穿上效果ok。补了10钱的邮资差价发的顺丰。昨天发货今天就收到货物了，可以说是秒到。客服 的服务质量也很高。谢谢店家了。还会再来的。期盼店家多出新产品，来满足消费者的需求。,贝***金
14,超级喜欢啊，显气质，款式特别。希望小虫推出更多白衬衫,l***u
15,面料还没有过水，比较挺，有型，不知道洗后怎么样。款式还不错，很时尚,金***7
16,喜欢，料子很好，一看就是好衣服，有不认识的人直接夸衣服好看，关键是胖子穿上不显胖，还舒服,我***花
17,相当棒！165，52kg买小小号，试了一下上身效果非常好！材质，面料相当讲究！很有设计感！非常喜欢！,墙***颜
18,衣服质量很好，面料很舒服，上身效果很好,喜***鱼
19,这件白衬衫很有型，穿上好看,s***3
20,爱起褶子，洗完必须得熨，不过穿上很有气场。,j***j
21,毫不夸张地一件钟情。款式新颖大方而不张扬。面料舒服，服务好，包装有档次。趁着小长假准备再选几件，路转深粉。,k***9
22,这是我在淘宝买的最满意的一次衣服，虽然等的太久。衣服不管是质量还是款式都不错，值这个价，想买的朋友不用犹豫了！我在这买的衣服成功的真没几件，这次是最喜欢的最成功的！,吴***4
23,是女儿买的    不知道她穿效果怎样      先好评吧,t***9
24,领子开得低，纯棉易起皱，这款式穿上感觉胳膊有点儿抬不起来。,s***6
25,收到惊喜。显气质款，配裙子配裤子都很美。赞,d***g
26,质量好，穿上舒服，显得时尚，帅气十足！,f***f
27,之前买了一件黑色，很好看，所以又入手了这款白色的。总之就是喜欢 喜欢 喜欢 喜欢。,姚***y
28,上身效果非常好?，我很喜欢，穿着舒适,c***4
29,喜欢她白的很正，干净，清爽。,流***8
30,漂亮 清新淡雅 得体大方,w***7
31,每次淘宝上看到很喜欢的，和送到手中的衣服，都是很失望，然后就退、退、退&hellip;&hellip;所以去实体店买的多，这件衣服是无意中看到的，当时就很喜欢，下单了，今天到货试穿了一下，非常满意，简直是惊艳了我，马上洗了，争取明天能穿出去臭美一下,t***6
32,非常好，自己喜欢再买件给朋友。,家***1
33,看上去质量还行，做工很好！因为没货拍的时间太长，广东这边已经很热了，穿不了了！,1***y
34,穿上有气质,徐***0
35,发货快，面料好，有质感,虫***想
36,料挺有型，法式风格,梵***玲
37,"评价方未及时做出评价,系统默认好评!",4***齐
38,一件值得等待的衣服，穿上正合适。还漂亮，显得年轻，给好评！,雨***寺
39,"上身很帅气，160,53感觉S号还是蛮大的，必须系在下装里，配裙，配裤都可以，很精神，下配黑色阔腿裤，领口系上鲜艳丝巾，穿到公司都说显年轻（45了）。",殷***o
40,衣衣很漂亮，面料也好。,s***3
41,很好，客服建议的尺寸正好，如果按自己的想法买，肯定大了,l***i
42,御姐范，女王范以及小仙女范&hellip;&hellip;很美很美的一款衬衣，秒杀今年买的所以其他衬衣,m***r
43,面料爽滑，有点硬的质感，穿起来很好看,l***4
44,版型有范儿 送我妈了,k***3
45,另一件等了好久，这件很淑女的设计，在这家买了两件白衬衫，都好看,r***u
46,很喜欢这个风格！肥肥大大！配裙子裤子扎进腰内！瞬间制片人的感觉！,雨***东
47,收到了，很不错，有特点，细节处理很到位，喜欢，其他衣服还木有发货，还会光临,毛***衣
48,看起来很简单，穿上气质就出来了，裁剪很重要,w***2
49,周围同事人手一件！,s***6
50,料子舒服,李***5
51,非常好的款式，大爱,w***0
52,"评价方未及时做出评价,系统默认好评!",杨***9
53,漂亮极了！,云***4
54,质量杠杠滴,壮***光
55,款式和面料都非常的好，也是这段时间网购最满意的一件了！,m***0
56,衣衣收到，非常满意喜欢，质量棒棒哒，以后买衣服就找你家哦。,多***8
57,帮别人拍的，看着挺好,水***儿
58,衣服款式和所期待的一样，面料非常爽滑，厚实，挺阔类型。有筋骨，穿上比较大气。做工也很好。就是等待的时间真的好长啊。我159高54公斤，选的m码觉得比较合适，这个衣服是很宽松版型，估计我这个身材买m或者s都不会有问题。,y***n
59,此用户没有填写评价。,茹***店
60,还行吧。领子处稍有点不顺溜。自己处理一下吧。挺肥的。其实买小一号也行,s***n
61,换了s，很合适很漂亮,f***g
62,试穿一下，超有范,舒***4
63,非常好?质量好、款式好，满意,狗***1
64,非常喜欢，超级适合我，越来越喜欢虫虫,刘***3
65,上身效果好，满意，好评。,q***4
66,上身效果非常好配裤子裙子都满分，穿身上也很舒服很适合夏天穿，十分满意,猎***静
67,还是值得买的,如***7
68,"穿上效果很好,大气有范",海***b
69,舒服，美丽,米***z
70,版型非常好，就是面料太容易皱了～,c***2
71,确实好看,1***m
72,好看，就是领子还是有点低,j***5
73,衣服很好看，大气，领子可以立起来的，很喜欢,d***m
74,好评如潮是有道理的，很满意,采***1
75,第二次买了！,y***n
76,随手在洗手间拍了两张，穿了一天被一堆人赞，已经推荐给同事,小***岁
77,很帅气的款式，发货速度比预期提前十天。至于效果，如下图&hellip; &hellip;,r***y
78,非常非常漂亮，85-70-90，s码很合适,k***3
79,不错！听客服的建议买小一码好了，后面的朋友可以选比平时小一码的,t***1
80,就是后面看起来很宽很大，很泡,大***迪
81,面料太差了，非常容易皱,放***n
82,质感很好，软糯，设计感十足，白衬衣就是要穿特别的款式！,熙***待
83,比较薄  款式满意,l***2
84,要不要这么帅？太棒啦！,旧***z
85,看着还行，还没正式穿。,远***人
86,这件白衬衫穿上有范儿，布料不透肉，就是太容易皱了，其他都好。,l***1
87,感觉要好好搭配,1***诗
88,被很多好友赞哦！,圈***3
89,很好，已推荐给朋友,张***选
90,好喜欢，做工和面料都很好，款式穿上很优雅，是我想象中的感觉，赞,收***6
91,好看 很别致 宽松版可以买小一码,s***2
92,样式喜欢，不错,t***0
93,式样大气，质地细腻爽滑，160/54，选了S号还是挺宽松的，只有放裤子里方显神气，但因为是棉质的，所以又比较容易皱，不太透，配牛仔裤还是值得拥有的。这么高的价格连个备扣也没送，这件衣服收到等待时间也太长了，不爽！,滕***斐
94,买第二件了,小***6
95,不错，担心会容易皱,l***1
96,衣服款式不错，配牛仔裤穿帅气。美中不足就是太容易皱。,阳***0
97,非常好，非常有气质！！第一次在网上购物这么满意哈哈哈哈,l***5
98,衣服做工还可以 就是太皱 刚熨好 穿在身上几分钟 就打皱 价钱和衣服不成正比 受后也是理由多 一会不在来他家 真心的衣服不好,j***q
99,这款衣服是预售等了很久，但是打开试穿时，一点都不后悔。,秋***w
100,欧美大牌时尚大气,t***1
101,此用户没有填写评价。,鸟***9
102,15天内买家未作出评价,徐***2
103,此用户没有填写评价。,成***6
104,衣服太好看了，质量又好，设计的好,宝***5
105,等了20多天，总算等到了，衣衣很美，没有让我失望，质感和坠感都蛮好哒,j***8
106,款式面料不错，就是太长了,许***9
107,很帅，领口还是有点大了,m***y
108,此用户没有填写评价。,文***子
109,喜欢小虫，件件都好看,嫣***佩
110,很少评价 这衬衣真合穿 上身就很喜欢 比较气质款哦！,大***来
111,太喜欢这件衬衣了！163cm，108斤，上身偏瘦，肩膀不算窄，xs穿着很适合，余度合适，一穿就知道是我的衣服，哈哈。,p***6
112,不错啊！做工很精细，版型时尚。是我想要的效果,说***1
113,衣服好看，显大气，质地比较挺，料子很舒服,z***o
114,真的很赞，上身效果好！多谢客服推荐！?,c***n
115,身高168，体重110，版型很好。等这么久也值了，相信换双拖鞋会更好看,鞋***7
116,有点大了，总之挺满意。,叶***8
117,太喜欢了，简单大方，不透,不***y
118,虫虫家的衣服质量真的好，时尚洋气，值得等待。最满意的网购，当然有些小贵。,心***1
119,出现问题 及时解决非常好,木***d
120,挺漂亮的 精神,y***5
121,质量超好，版型也很漂亮.161高98斤s码！,慧***7
122,漂亮，喜欢,t***4
123,衣服提前收到了，如描述的一致，面料好，款式新颖时尚，做工精细。各个年龄段能穿出不同的风采。会继续关注,阿***2
124,虽然来了冷空气冻人啊，还是勇敢的脱衣试穿一下！质量和做工都很好！穿上很绝对酷！！！,醉***鱼
125,挺好看的，质量也不错。很满意哦,c***g
126,买的预售款，等了很长时间终于到了，穿起来很有气质，不过容易皱，穿的时候要好好熨烫。,清***6
127,时尚大气，有质感，很有范儿。本人很讨厌落肩款，但这次高兴的接受了。,j***j
128,163 114 s码，合适。喜欢,z***0
129,哇噻，衣服非常有型，我搭配的牛仔裤，美美哒！身高164，体重52公斤，xs宽松度非常合适。,l***9
130,小虫的衣服一到，直接收衣柜里，不带试的，穿的时候直接穿，合适很美做工好款式漂亮,云***2
131,上身效果非常好,情***邦
132,不错，很帅气,木***言
133,虽然有点小贵，不过衣服到货我简单试一下，很好配衣服，仔裤，七分黑裤，高腰裙子，都好看。,春***虫
134,面料好，款式好，时髦，漂亮！是我喜欢的一款衣服，好不容易在网上找到的。,广***游
135,面料手感舒适细腻特别好做工上身都非常棒,刘***菊
136,非常好看，质量也好，特别喜欢扣子，就是发货有点慢，得等，不容易，看好了得提前买，会继续关注小虫的,绿***0
137,确实还不错，等穿了来追评。,c***m
138,"衣服摆着很普通,穿起来效果就不一样了,可以很帅,可以很职业.总之,喜欢",王***湖
139,好久没买虫家的服饰了，这次下单收获后没让我失望，款式是我的菜，做工一如既往的不错，近期会常来看看,动***子
140,面料做工都很棒，大气帅酷。尺码偏大，可比平时尺码拍小一号。,涛***0
141,面料挺好的，上身效果也挺好的。装衣服的盒子太大了，在快递柜里半天抽不出来,死***下
142,试穿了一下，效果不错，面料也不错。希望下水后，面料没变化。先满分支持！,优***1
143,白衬衫不错，有型，就是不知道清洗后好熨吗？,a***9
144,喜欢，很知性的美，适合上班穿！,t***1
145,还不错，型好,p***4
146,很帅气的白衬衫，很好的遮住了肉肉,木***话
147,第一次在小虫家买衣服，没有让我失望，虽然等待时间长点，但一点不影响我穿上那一刻的心情，太棒了，款式布料合体合心，时尚优雅，很配我的气质。赞！,t***8
148,面料柔软 手感柔软 版型时髦大气 做工精致,黄***黄
149,宽大 很宽大 质量不错 不知道再小一个号如何 我身高165重111,n***明
150,非常满意、很有设计感、做工精细、一直关注你家的宝贝、希望有更多的新品上市。,a***5
151,很喜欢，面料舒适又筋骨，版型非常有范儿，纽扣画龙点睛,沙***贝
152,面料不错，看着也很好，等上身后再评,马***子
153,特别好！,香***开
154,满意，配啥都应该不错！,t***0
155,棒棒哒棒棒哒,c***4
156,衣服质量很好，样式好看，很好搭配,川***0
157,这件衣服购买过程比较曲折，开始买的M码有些大，又换了S码，穿上终于是我想要的样子，衣服本来就是宽松款，感觉很窃喜，我什么时候也能穿S码，而且还有余量，穿着是很高大上的感觉，很喜欢很喜欢。,j***t
158,喜欢！穿上挺潇洒的！质量也不错！,吴***1
159,非常漂亮！穿着有型，气质佳，配裤子帅、配裙子优雅知性，店家服务周到、贴心！点赞?,一***鲜
160,衬衫很漂亮，穿上很带感，超喜欢。以后还会回购的,源***6
161,"评价方未及时做出评价,系统默认好评!",j***n
162,从面料到做工都非常满意，款式也是我喜欢的。非常好。,l***4
163,真的好大，110重164身高，小码都非常宽松,心***毛
164,不错与预期差不离材质好色彩靓丽,l***8
165,衣服不错，上身效果还可以！没白等这么天！,t***9
166,非常漂亮，做工精致，可能打理起来要麻烦些,夏***5
167,衣服质量可以，搭配好了肯定惊艳,流***哚
168,面料质地很好，帅气，但是确实超大;缺点是易皱,w***1
169,不错，白衬衣也可以穿出时尚气息。,t***2
170,衬衫收到了，很喜欢，上身效果很好，真是物有所值，,t***0
171,很大一件，Ｍ都宽松，凉凉的很舒服。,绘***绘
172,好看，领子设计非常好看。,a***l
173,衣服很漂亮，喜欢，只是等得让人心急，二十多天才发货    ,夏***2
174,非常满意！非常漂亮！款式好看！还会光顾！五星好评！,s***5
175,非常喜欢！好几家都卖这个款式，小虫家价格最优！,m***a
176,可以啦，面料不错，领子款式很有气场。平时穿L的，这款比较宽松，M的也很肥大。,l***8
177,好看的，可以配裙子，也能配裤子，满意。,家***1
178,挺好的，难得有一款穿上就喜欢的白衬衫,润***儿
179,衣服挺宽松的，夏天穿也不热,荣***6
180,款式时尚，面料舒服，我喜欢。,鱼***0
